A_RowId,CATEGORY,FULL_URL,HOST,URI,TARGET
-326418955,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|chemistry|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|CHEMISTRY,CHEMISTRY
1806849231,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|civilengineering|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|CIVILENGINEERING,CIVIL ENGINEERING
-435207847,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|cognitivescience|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|COGNITIVESCIENCE,COGNITIVE SCIENCE
-2141680473,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|communication|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|COMMUNICATION,COMMUNICATION
-42024070,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|computerscience|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|COMPUTERSCIENCE,COMPUTER SCIENCE
490480589,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|conflictresolution|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|CONFLICTRESOLUTION,CONFLICT RESOLUTION
-1726787124,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|culturalmediations|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|CULTURALMEDIATIONS,CULTURAL MEDIATIONS
-1330440262,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|curatorialstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|CURATORIALSTUDIES,CURATORIAL STUDIES
-1541778293,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|datascience|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|DATASCIENCE,DATAS CIENCE
374431245,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|design|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|DESIGN,DESIGN
-36346584,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|digitalhumanities|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|DIGITALHUMANITIES,DIGITAL HUMANITIES
-719675990,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|earthsciences|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|EARTHSCIENCES,EARTH SCIENCE
548605039,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|economics|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ECONOMICS,ECONOMICS
1945915768,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|electricalandcomputerengineering|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ELECTRICALANDCOMPUTERENGINEERING,ELECTRICAL ENGINEERING
-143357951,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|english|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ENGLISH,ENGLISH
959632740,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|environmentalengineering|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ENVIRONMENTALENGINEERING,ENVIRONMENTAL ENGINEERING
-1820452231,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|ethicsandpublicaffairs|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ETHICSANDPUBLICAFFAIRS,POLITICS
