xxxxxxx	XXXXXXXXX
LIBERAL ARTS DEGREE	DEGREEPROGRAM
LIBRARIANSHIP DEGREE	DEGREEPROGRAM
LIFE SCIENCES DEGREE	DEGREEPROGRAM
LINGUISTICS DEGREE	DEGREEPROGRAM
LITERATURE DEGREE	DEGREEPROGRAM
MANAGEMENT DEGREE	DEGREEPROGRAM
MANAGEMENT SCIENCE DEGREE	DEGREEPROGRAM
MARKETING DEGREE	DEGREEPROGRAM
MATERIALS SCIENCE DEGREE	DEGREEPROGRAM
MATHEMATICS DEGREE	DEGREEPROGRAM
MECHANICAL ENGINEERING DEGREE	DEGREEPROGRAM
MECHANICAL OR ELECTRICAL ENGINEERING DEGREE	DEGREEPROGRAM
MEDIA STUDIES DEGREE	DEGREEPROGRAM
MICROBIOLOGY DEGREE	DEGREEPROGRAM
MICRO-BIOLOGY DEGREE	DEGREEPROGRAM
MINING ENGINEERING DEGREE	DEGREEPROGRAM
MOLECULAR BIOLOGY DEGREE	DEGREEPROGRAM
MUSIC DEGREE	DEGREEPROGRAM
NETWORKS DEGREE	DEGREEPROGRAM
NEUROSCIENCE DEGREE	DEGREEPROGRAM
NUCLEAR ENGINEERING DEGREE	DEGREEPROGRAM
NURSING DEGREE	DEGREEPROGRAM
NUTRITION DEGREE	DEGREEPROGRAM
OPERATIONS MANAGEMENT DEGREE	DEGREEPROGRAM
ORGANIZATIONAL DEVELOPMENT DEGREE	DEGREEPROGRAM
PERFORMANCE ART DEGREE	DEGREEPROGRAM
PETROLEUM ENGINEERING DEGREE	DEGREEPROGRAM
PHARMACEUTICAL SCIENCE DEGREE	DEGREEPROGRAM
PHARMACOLOGY DEGREE	DEGREEPROGRAM
PHILOSOPHY DEGREE	DEGREEPROGRAM
PHOTOGRAPHY DEGREE	DEGREEPROGRAM
PHYSICS DEGREE	DEGREEPROGRAM
PHYSIOTHERAPY DEGREE	DEGREEPROGRAM
POLITICS DEGREE	DEGREEPROGRAM
PROGRAMMING DEGREE	DEGREEPROGRAM
PROJECT MANAGEMENT DEGREE	DEGREEPROGRAM
PSYCHOLOGY DEGREE	DEGREEPROGRAM
